id_a,company_name_a,id_b,company_name_b,best_match_score
173215,sncf,97783,sncf mobilité,0.30590153317287905
317638,atos,193080,atos,0.305565997331882
330298,francis lefebvre formation,342656,francis lefebvre formation,0.3055510489883075
123136,sacré frenchy !,2959,sacré frenchy !,0.2986651303820178
320854,finaxys,90707,finaxys,0.2972819002161502
331857,proximus,85964,proximus,0.2972819002161502
80426,fabernovel,329473,fabernovel,0.2972819002161502
105764,boursorama,398403,boursorama banque,0.29689714872779177
321706,point p,321162,saint gobain   point.p,0.29470846310877263
89937,engie  groupe,333974,engie,0.29379560309245156
365316,lacroix sofrel,228017,lacroix sofrel,0.29124049427653026
43443,efficiens,333921,efficiens rh,0.29028402364999345
310083,air france industries,312078,air liquide france industrie,0.2902111137861649
322320,laboratoires pierre fabre,351104,pierre fabre dermocosmetique,0.28940653245020925
253443,microsoft,174845,microsoft,0.28840233681157995
309913,marsh,177380,marsh,0.2872475670273508
110463,le comptoir la table,283731,le comptoir et la table,0.28677388188935005
370506,schneider electric,329617,schneider electric,0.28598435928645577
871,sushi juliette,124451,sushi juliette,0.28495388087869766
108184,les tantes jeanne,7182,les tantes jeanne,0.2846117693334931
320904,eovi mcd,344626,eovi mcd mutuelle,0.28393359981466887
39362,cgsi,220796,cgsi,0.28304221984112915
331742,weekendesk,329410,saintgobain,0.2830112859751496
330008,lesfurets.com,81162,lesfurets.com,0.2827736760392568
246595,publishing factory sa,349915,publishing factory sa,0.2825417495807975
286773,la foir fouille,1164,la foir fouille,0.2822903264995726
318242,lyreco france,342823,lyreco france,0.2813179844242387
4594,coco de mer,155569,coco de mer,0.2759964770304734
129957,terrasse sainte catherine,5450,la terrasse saint catherine,0.2755386117894482
102814,integra lifesciences,64123,integra lifesciences,0.2721362099263443
176349,quick,5824,quick,0.2713435252033621
329451,cofidis,330910,nocibe,0.2713131593069115
343870,banque de france,342593,banque de france,0.27044159822936886
250980,xl airways france,311248,xl airways,0.26741333713814047
320637,bpce international,343354,bpce international et outremer,0.2651676747114987
10142,deliveroo,10347,deliveroo,0.260772802787095
175792,francaise des jeux,423062,la française des jeux  fdj,0.2598255108029655
329281,adidas,317797,adidas group,0.2597767003862362
310308,leroy merlin,350718,leroy merlin,0.25657418955336087
179766,cogedis,44567,cogedis,0.25601373143460765
343018,colas,317730,colas (groupe),0.2520526290606142
361729,societe generale montenegro,342520,societe generale equipment finance,0.2509799795269123
174324,bnp paribas leasing solutions,352479,bnp paribas cardif,0.2501698935529003
86446,groupe sephora,92113,sephora,0.24908918199532415
343314,université pernod ricard,317640,pernod ricard,0.24725458164408343
181803,essilor,85523,essilor france,0.24627052950793657
245183,demeco sa,186450,groupe nasse,0.24548806007621252
5793,le fer a cheval,148398,le fer a cheval,0.2447967536538063
95100,groupe berto,216393,groupe berto,0.24214907466811553
91566,peoplescout (partner account),100844,hudson (partner account),0.24113059609269494
175788,lactalis nestle ultra frais,55005,lactalis nestle ultra frais,0.24065796753013727
96841,crédit agricole sa,176954,crédit agricole idf,0.23902352723851178
367309,c&a online gmbh,352268,c&a,0.2381884990939191
100178,thom europe,329401,thom europe,0.23714885174699715
321600,skema business school,181767,skema business school,0.23684861168766894
250606,lagardere,34566,lagardere,0.23641842732986493
322229,vinci construction france grand est,181290,vinci construction,0.2348289979071892
318233,engie btob,333974,engie,0.234128227496908
322185,système u,342822,systeme u,0.23376193387067198
334205,groupe rocher / dr. pierre ricaud,105816,docteur pierre ricaud (yves rocher),0.233410317442326
204634,gov.uk,191785,gov.uk,0.23234282702076728
331772,withings,85747,withings,0.2322916052593334
97539,pco innovation,74977,pco innovation,0.23142555068158552
110132,baguett s café,2879,baguett s cafe,0.23060699763655534
89921,origin energy,43224,origin energy,0.22974781700020194
61928,greenflex,179146,greenflex,0.2297424309235379
87899,edhec business school,344012,edhec business school,0.2262692920763142
320825,xpo logistics europe,344127,xpo logistics,0.22596364262818971
319547,remy cointreau,368305,remy cointreau,0.22539611998388537
317503,credit immobilier de france,184624,credit agricole nord de france,0.22482587955584116
216099,messier services,25267,safran landing systems,0.22133273063973566
320176,afpa transition,343340,afpa,0.21952480596617868
320988,afdas,342447,cpf  afdas,0.21876173634029375
310145,crédit agricole,330651,crédit agricole group,0.2181187352055779
80729,l’oreal group,81382,l oréal france,0.21514425970035259
324696,riem becker,306539,riem becker,0.21495000547415008
342228,bnp paribas,342443,bnp paribas securities services,0.21390723608252413
241631,ovh ltd,247636,ovh ltd,0.21337053700437456
241297,ovh ltd,247636,ovh ltd,0.21337053700437456
344865,bnp paribas immobilier,342630,bnp paribas legal,0.21109653989252297
